campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6985706012030,1 - Testing,2025-12-20,2025-12-20,79.71,2262,1763,1.28304,35.238727,81,0.984074,3.580902,72,3.183024,1.0,23.96,,0.30059,79.71,0.013888888888888888
6972562335830,Magic - Test Sales Campaign,2025-12-21,2025-12-21,742.69,29074,25421,1.1437,25.544817,806,0.921452,2.772236,654,2.249432,22.0,530.1,,0.713757,33.75863636363636,0.03363914373088685
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-21,2025-12-21,162.62,5652,4351,1.299012,28.772116,216,0.75287,3.821656,172,3.043171,4.0,401.29,,2.467655,40.655,0.023255813953488372
6976513156630,ASC - Magic Portraits,2025-12-21,2025-12-21,1050.7,38396,27419,1.400343,27.36483,1020,1.030098,2.656527,846,2.203355,26.0,1336.96,,1.272447,40.41153846153846,0.030732860520094562
6985706012030,1 - Testing,2025-12-21,2025-12-21,97.69,3100,2260,1.371681,31.512903,78,1.252436,2.516129,72,2.322581,2.0,143.77,,1.471696,48.845,0.027777777777777776
6972562335830,Magic - Test Sales Campaign,2025-12-22,2025-12-22,54.11,1696,1575,1.076825,31.904481,75,0.721467,4.42217,68,4.009434,2.0,59.9,,1.107004,27.055,0.029411764705882353
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-22,2025-12-22,166.71,6240,4624,1.349481,26.716346,244,0.683238,3.910256,216,3.461538,5.0,119.8,,0.718613,33.342,0.023148148148148147
6976513156630,ASC - Magic Portraits,2025-12-22,2025-12-22,1001.47,37979,27198,1.396389,26.369046,966,1.036718,2.543511,797,2.098528,21.0,860.7,,0.859437,47.68904761904762,0.026348808030112924
6985706012030,1 - Testing,2025-12-22,2025-12-22,55.84,1927,1428,1.34944,28.977686,60,0.930667,3.113648,47,2.439024,3.0,46.94,,0.840616,18.613333333333333,0.06382978723404255
6972562335830,Magic - Test Sales Campaign,2025-12-23,2025-12-23,53.97,1821,1700,1.071176,29.637562,54,0.999444,2.965404,49,2.690829,7.0,233.79,,4.331851,7.71,0.14285714285714285
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-23,2025-12-23,157.38,7382,5645,1.307706,21.319426,224,0.702589,3.034408,188,2.546735,2.0,47.92,,0.304486,78.69,0.010638297872340425
6976513156630,ASC - Magic Portraits,2025-12-23,2025-12-23,902.96,40315,28503,1.414413,22.397619,890,1.014562,2.207615,726,1.800819,15.0,486.57,,0.538861,60.19733333333333,0.02066115702479339
6985706012030,1 - Testing,2025-12-23,2025-12-23,52.09,1800,1366,1.317716,28.938889,45,1.157556,2.5,43,2.388889,1.0,23.96,,0.459973,52.09,0.023255813953488372
6972562335830,Magic - Test Sales Campaign,2025-12-24,2025-12-24,106.65,5301,4827,1.098198,20.118846,121,0.881405,2.282588,90,1.697793,2.0,97.93,,0.918237,53.325,0.022222222222222223
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-24,2025-12-24,152.76,8821,6969,1.265748,17.317764,185,0.82573,2.097268,144,1.632468,,,,,,
6976513156630,ASC - Magic Portraits,2025-12-24,2025-12-24,543.11,27985,20655,1.354878,19.407182,541,1.0039,1.933178,434,1.550831,15.0,486.91,,0.896522,36.20733333333333,0.03456221198156682
6985706012030,1 - Testing,2025-12-24,2025-12-24,37.8,1410,1200,1.175,26.808511,40,0.945,2.836879,33,2.340426,1.0,591.19,,15.639947,37.8,0.030303030303030304
6972562335830,Magic - Test Sales Campaign,2025-12-25,2025-12-25,99.99,5156,4783,1.077985,19.39294,146,0.684863,2.831652,114,2.211016,2.0,67.9,,0.679068,49.995,0.017543859649122806
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-25,2025-12-25,162.33,9897,8214,1.204894,16.40194,200,0.81165,2.020814,154,1.556027,2.0,53.91,,0.332101,81.165,0.012987012987012988
6976513156630,ASC - Magic Portraits,2025-12-25,2025-12-25,489.71,29875,22402,1.333586,16.391967,591,0.828613,1.978243,480,1.606695,14.0,567.68,,1.159217,34.979285714285716,0.029166666666666667
6985706012030,1 - Testing,2025-12-25,2025-12-25,40.26,1888,1478,1.277402,21.324153,36,1.118333,1.90678,31,1.641949,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-26,2025-12-26,201.09,10120,9004,1.123945,19.870553,250,0.80436,2.470356,202,1.996047,2.0,49.44,,0.24586,100.545,0.009900990099009901
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-26,2025-12-26,141.66,8703,6500,1.338923,16.277146,174,0.814138,1.999311,139,1.59715,1.0,23.96,,0.169137,141.66,0.007194244604316547
