date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-28,2025-11-28,851.065833,12698,8054,1.576608,67.023613,744,5.85919,606,55-64,female,27.0,818.02,,0.961171,1.143906,4.772405,31.520956777777776,0.04455445544554455
2025-11-28,2025-11-28,76.517607,1307,858,1.52331,58.544458,46,3.51951,39,55-64,male,2.0,23.94,,0.312869,1.663426,2.983933,38.2588035,0.05128205128205128
2025-11-28,2025-11-28,4.070937,97,50,1.94,41.96842,5,5.154639,5,55-64,unknown,,,,,0.814187,5.154639,,
2025-11-28,2025-11-28,367.534571,5460,3504,1.558219,67.314024,327,5.989011,287,65+,female,15.0,455.21,,1.23855,1.123959,5.25641,24.502304733333336,0.05226480836236934
2025-11-28,2025-11-28,35.388143,677,434,1.559908,52.271998,21,3.10192,23,65+,male,2.0,7.98,,0.225499,1.68515,3.397341,17.6940715,0.08695652173913043
2025-11-28,2025-11-28,1.690389,39,23,1.695652,43.343307,4,10.25641,3,65+,unknown,,,,,0.422597,7.692308,,
2025-11-28,2025-11-28,0.0,0,0,0.0,,0,,0,Unknown,unknown,,,,,,,,
2025-11-29,2025-11-29,4.570648,59,33,1.787879,77.468614,7,11.864407,6,18-24,female,,,,,0.65295,10.169492,,
2025-11-29,2025-11-29,0.320045,17,13,1.307692,18.826199,0,0.0,0,18-24,male,,,,,,,,
2025-11-29,2025-11-29,20.552915,478,250,1.912,42.99773,16,3.34728,11,25-34,female,,,,,1.284557,2.301255,,
2025-11-29,2025-11-29,2.110299,97,52,1.865385,21.755663,1,1.030928,1,25-34,male,,,,,2.110299,1.030928,,
2025-11-29,2025-11-29,0.010001,1,1,1.0,10.001418,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-29,2025-11-29,133.598948,2483,1434,1.73152,53.805456,104,4.188482,80,35-44,female,5.0,156.54,,1.171716,1.284605,3.221909,26.719789600000002,0.0625
2025-11-29,2025-11-29,11.341609,289,142,2.035211,39.24432,8,2.768166,8,35-44,male,2.0,150.85,,13.300583,1.417701,2.768166,5.6708045,0.25
2025-11-29,2025-11-29,0.340048,8,8,1.0,42.506028,0,0.0,0,35-44,unknown,,,,,,,,
